extraction_ID,alternative_ID,source,collection_year,collection_month,collection_day,location1,location2,location3,longitude,latitude,sample_type,depth,time_of_day,project,collected_by,extraction_by,extraction_date,plate_or_vial,extraction_plate,extraction_well,dna_conc_ng_uL,additional_metadata,accompanying_data
e00654,NW21_23-10,water,2021,9,9,23,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,D06,,,
e00655,NW21_23-10,water,2021,9,9,23,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,E06,,,
e00656,NW21_23b,water,2021,9,9,23,Northern Bering Sea,,,,field_blank,NA,,NBS,,MP,2022_02_23,plate,1_2022,F06,,,
e00657,NW21_35-10,water,2021,9,10,35,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,G06,,,
e00658,,water,,,,NA,Northern Bering Sea,,,,extraction_blank,NA,,NBS,,MP,2022_02_23,plate,1_2022,H06,,,
e00659,NW21_35-10,water,2021,9,10,35,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,A07,,,
e00660,NW21_35-10,water,2021,9,10,35,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,B07,,,
e00661,NW21_35b,water,2021,9,10,35,Northern Bering Sea,,,,field_blank,NA,,NBS,,MP,2022_02_23,plate,1_2022,C07,,,
e00662,NW21_38-10,water,2021,9,11,38,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,D07,,,
e00663,NW21_38-10,water,2021,9,11,38,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,E07,,,
e00664,NW21_38-10,water,2021,9,11,38,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,F07,,,
e00665,NW21_38b,water,2021,9,11,38,Northern Bering Sea,,,,field_blank,NA,,NBS,,MP,2022_02_23,plate,1_2022,G07,,,
e00666,NW21_40-10,water,2021,9,12,40,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,H07,,,
e00667,NW21_40-10,water,2021,9,12,40,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,A08,,,
e00668,NW21_40-10,water,2021,9,12,40,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,B08,,,
e00669,NW21_40b,water,2021,9,12,40,Northern Bering Sea,,,,field_blank,NA,,NBS,,MP,2022_02_23,plate,1_2022,C08,,,
e00670,NW21_43-10,water,2021,9,13,43,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,D08,,,
e00671,NW21_43-10,water,2021,9,13,43,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,E08,,,
e00672,NW21_43-10,water,2021,9,13,43,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,F08,,,
e00673,NW21_43b,water,2021,9,13,43,Northern Bering Sea,,,,field_blank,NA,,NBS,,MP,2022_02_23,plate,1_2022,G08,,,
e00674,NW21_46-10,water,2021,9,14,46,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,H08,,,
e00675,NW21_46-10,water,2021,9,14,46,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,A09,,,
e00676,NW21_46-10,water,2021,9,14,46,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,B09,,,
e00677,NW21_46b,water,2021,9,14,46,Northern Bering Sea,,,,field_blank,NA,,NBS,,MP,2022_02_23,plate,1_2022,C09,,,
e00678,NW21_14-10,water,2021,,,14,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,D09,,,
e00679,NW21_14-10,water,2021,,,14,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,E09,,,
e00680,NW21_14-10,water,2021,,,14,Northern Bering Sea,,,,sample,10,,NBS,,MP,2022_02_23,plate,1_2022,F09,,,
e00681,NW21_14-50,water,2021,,,14,Northern Bering Sea,,,,sample,50,,NBS,,MP,2022_02_23,plate,1_2022,G09,,,
e00682,NW21_14-50,water,2021,,,14,Northern Bering Sea,,,,sample,50,,NBS,,MP,2022_02_23,plate,1_2022,H09,,,
e00683,NW21_14-50,water,2021,,,14,Northern Bering Sea,,,,sample,50,,NBS,,MP,2022_02_23,plate,1_2022,A10,,,
e01821,NW22-01_ST31_0m_1,water,2022,,,31,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,A01,,,
e01822,NW22-01_ST31_0m_2,water,2022,,,31,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,B01,,,
e01823,NW22-01_ST31_0m_3,water,2022,,,31,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,C01,,,
e01824,NW22-02_ST31_blank_4,water,2022,,,31,Northern Bering Sea,,,,field_blank,,,NBS,,MP,2023_01_05,plate,16_2023,D01,,,
e01825,NW22-02_ST34_0m_1,water,2022,,,34,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,E01,,,
e01826,NW22-02_ST34_0m_2,water,2022,,,34,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,F01,,,
e01827,NW22-02_ST34_0m_3,water,2022,,,34,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,G01,,,
e01828,NW22-02_ST34_blank_4,water,2022,,,34,Northern Bering Sea,,,,field_blank,,,NBS,,MP,2023_01_05,plate,16_2023,H01,,,
e01829,NW22-02_ST37_0m_1,water,2022,,,37,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,A02,,,
e01830,NW22-02_ST37_0m_2,water,2022,,,37,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,B02,,,
e01831,NW22-02_ST37_0m_3,water,2022,,,37,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,C02,,,
e01832,NW22-02_ST37_blank_4,water,2022,,,37,Northern Bering Sea,,,,field_blank,,,NBS,,MP,2023_01_05,plate,16_2023,D02,,,
e01833,NW22-02_ST40_0m_2,water,2022,,,40,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,E02,,,
e01834,NW22-02_ST40_0m_3,water,2022,,,40,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,F02,,,
e01835,NW22-02_ST40_blank_4,water,2022,,,40,Northern Bering Sea,,,,field_blank,,,NBS,,MP,2023_01_05,plate,16_2023,G02,,,
e01836,NW22-02_ST4_0m_1,water,2022,,,4,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,H02,,,
e01837,,water,,,,,Northern Bering Sea,,,,extraction_blank,,,NBS,,MP,2023_01_05,plate,16_2023,A03,,,
e01838,NW22-02_ST4_0m_2,water,2022,,,4,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,B03,,,
e01839,NW22-02_ST4_0m_3,water,2022,,,4,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,C03,,,
e01840,NW22_02_ST5_0m_1,water,2022,,,5,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,D03,,,
e01841,NW22_02_ST5_0m_2,water,2022,,,5,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,E03,,,
e01842,NW22_02_ST5_0m_3,water,2022,,,5,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,F03,,,
e01843,NW22_02_ST7_0m_1,water,2022,,,7,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,G03,,,
e01844,,water,,,,,Northern Bering Sea,,,,extraction_blank,,,NBS,,MP,2023_01_05,plate,16_2023,H03,,,
e01845,NW22_02_ST7_0m_2,water,2022,,,7,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,A04,,,
e01846,NW22_02_ST7_0m_3,water,2022,,,7,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,B04,,,
e01847,NW22_02_ST7_blank_4,water,2022,,,7,Northern Bering Sea,,,,field_blank,,,NBS,,MP,2023_01_05,plate,16_2023,C04,,,
e01848,NW22_02_ST10_0m_2,water,2022,,,10,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,D04,,,
e01849,NW22_02_ST10_0m_3,water,2022,,,10,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,E04,,,
e01850,NW22_02_ST10_blank_4,water,2022,,,10,Northern Bering Sea,,,,field_blank,,,NBS,,MP,2023_01_05,plate,16_2023,F04,,,
e01851,NW22_02_ST13_0m_1,water,2022,,,13,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,G04,,,
e01852,NW22_02_ST13_0m_2,water,2022,,,13,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,H04,,,
e01853,NW22_02_ST13_0m_3,water,2022,,,13,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,A05,,,
e01854,NW22_02_ST13_blank_4,water,2022,,,13,Northern Bering Sea,,,,field_blank,,,NBS,,MP,2023_01_05,plate,16_2023,B05,,,
e01855,NW22_02_ST16_0m_1,water,2022,,,16,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,C05,,,
e01856,NW22_02_ST16_0m_2,water,2022,,,16,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,D05,,,
e01857,NW22_02_ST16_0m_3,water,2022,,,16,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,E05,,,
e01858,NW22_02_ST16_blank_4,water,2022,,,16,Northern Bering Sea,,,,field_blank,,,NBS,,MP,2023_01_05,plate,16_2023,F05,,,
e01859,NW22_02_ST40_0m_1,water,2022,,,40,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,G05,,,
e01860,NW22_02_ST25_0m_2,water,2022,,,25,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,H05,,,
e01861,,water,,,,,Northern Bering Sea,,,,extraction_blank,,,NBS,,MP,2023_01_05,plate,16_2023,A06,,,
e01862,NW22_02_ST28_0m_1,water,2022,,,28,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,B06,,,
e01863,NW22_02_ST28_0m_2,water,2022,,,28,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,C06,,,
e01864,NW22_02_ST28_0m_3,water,2022,,,28,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,D06,,,
e01865,NW22_02_ST28_blank_4,water,2022,,,28,Northern Bering Sea,,,,field_blank,,,NBS,,MP,2023_01_05,plate,16_2023,E06,,,
e01866,NW22_02_ST21_0m_1,water,2022,,,21,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,F06,,,
e01867,NW22_02_ST21_0m_2,water,2022,,,21,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,G06,,,
e01868,,water,,,,,Northern Bering Sea,,,,extraction_blank,,,NBS,,MP,2023_01_05,plate,16_2023,H06,,,
e01869,NW22_02_ST21_0m_3,water,2022,,,21,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,A07,,,
e01870,NW22_02_ST21_blank_4,water,2022,,,21,Northern Bering Sea,,,,field_blank,,,NBS,,MP,2023_01_05,plate,16_2023,B07,,,
e01871,NW22_02_ST25_0m_1,water,2022,,,25,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,C07,,,
e01872,NW22_02_ST25_0m_3,water,2022,,,25,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,D07,,,
e01873,NW22_02_ST25_blank_4,water,2022,,,25,Northern Bering Sea,,,,field_blank,,,NBS,,MP,2023_01_05,plate,16_2023,E07,,,
e01874,NW22_02_ST18_0m_1,water,2022,,,18,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,F07,,,
e01875,NW22_02_ST18_0m_2,water,2022,,,18,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,G07,,,
e01876,NW22_02_ST18_0m_3,water,2022,,,18,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,H07,,,
e01877,NW22_02_ST18_blank_4,water,2022,,,18,Northern Bering Sea,,,,field_blank,,,NBS,,MP,2023_01_05,plate,16_2023,A08,,,
e01878,NW22_02_ST10_0m_1,water,2022,,,10,Northern Bering Sea,,,,sample,0,,NBS,,MP,2023_01_05,plate,16_2023,B08,,,
e01879,,water,,,,,,,,,extraction_blank,,,NBS,,MP,2023_01_05,plate,16_2023,C08,,,
e01880,,water,,,,,,,,,extraction_blank,,,NBS,,MP,2023_01_05,plate,16_2023,D08,,,
e01881,,water,,,,,,,,,extraction_blank,,,NBS,,MP,2023_01_05,plate,16_2023,E08,,,
e01882,,water,,,,,,,,,extraction_blank,,,NBS,,MP,2023_01_05,plate,16_2023,F08,,,
e01883,,water,,,,,,,,,extraction_blank,,,NBS,,MP,2023_01_05,plate,16_2023,G08,,,
e01884,,water,,,,,,,,,extraction_blank,,,NBS,,MP,2023_01_05,plate,16_2023,H08,,,
e03351,NW2301_2_10_1,water,2023,8,30,2,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03352,NW2301_2_10_2,water,2023,8,30,2,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03353,NW2301_2_10_3,water,2023,8,30,2,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03354,NW2301_3_10_1,water,2023,8,30,3,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03355,NW2301_3_10_2,water,2023,8,30,3,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03356,NW2301_3_10_3,water,2023,8,30,3,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03357,NW2301_3_10_4,water,2023,8,30,3,Northern Bering Sea,,,,field_blank,,,NBS,,,,,,,,,
e03358,NW2301_4_10_1,water,2023,8,31,4,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03359,NW2301_4_10_2,water,2023,8,31,4,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03360,NW2301_4_10_3,water,2023,8,31,4,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03361,NW2301_4_60_1,water,2023,8,31,4,Northern Bering Sea,,,,sample,60,,NBS,,,,,,,,,
e03362,NW2301_4_60_2,water,2023,8,31,4,Northern Bering Sea,,,,sample,60,,NBS,,,,,,,,,
e03363,NW2301_4_60_3,water,2023,8,31,4,Northern Bering Sea,,,,sample,60,,NBS,,,,,,,,,
e03364,NW2301_5_10_1,water,2023,8,31,5,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03365,NW2301_5_10_2,water,2023,8,31,5,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03366,NW2301_5_10_3,water,2023,8,31,5,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03367,NW2301_5_50_1,water,2023,8,31,5,Northern Bering Sea,,,,sample,50,,NBS,,,,,,,,,
e03368,NW2301_5_50_2,water,2023,8,31,5,Northern Bering Sea,,,,sample,50,,NBS,,,,,,,,,
e03369,NW2301_5_50_3,water,2023,8,31,5,Northern Bering Sea,,,,sample,50,,NBS,,,,,,,,,
e03370,NW2301_6_10_1,water,2023,8,31,6,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03371,NW2301_6_10_2,water,2023,8,31,6,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03372,NW2301_6_10_3,water,2023,8,31,6,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03373,NW2301_6_10_4,water,2023,8,31,6,Northern Bering Sea,,,,field_blank,,,NBS,,,,,,,,,
e03374,NW2301_7_10_1,water,2023,9,1,7,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03375,NW2301_7_10_2,water,2023,9,1,7,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03376,NW2301_7_10_3,water,2023,9,1,7,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03377,NW2301_8_10_1,water,2023,9,1,8,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03378,NW2301_8_10_2,water,2023,9,1,8,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03379,NW2301_8_10_3,water,2023,9,1,8,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03380,NW2301_8_10_4,water,2023,9,1,8,Northern Bering Sea,,,,field_blank,,,NBS,,,,,,,,,
e03381,NW2301_9_10_1,water,2023,9,1,9,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03382,NW2301_9_10_2,water,2023,9,1,9,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03383,NW2301_9_10_3,water,2023,9,1,9,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03384,NW2301_10_10_1,water,2023,9,2,10,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03385,NW2301_10_10_2,water,2023,9,2,10,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03386,NW2301_10_10_3,water,2023,9,2,10,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03387,NW2301_11_10_1,water,2023,9,2,11,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03388,NW2301_11_10_2,water,2023,9,2,11,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03389,NW2301_11_10_3,water,2023,9,2,11,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03390,NW2301_11_10_4,water,2023,9,2,11,Northern Bering Sea,,,,field_blank,,,NBS,,,,,,,,,
e03391,NW2301_12_10_1,water,2023,9,3,12,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03392,NW2301_12_10_2,water,2023,9,3,12,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03393,NW2301_12_10_3,water,2023,9,3,12,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03394,NW2301_13_10_1,water,2023,9,3,13,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03395,NW2301_13_10_2,water,2023,9,3,13,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03396,NW2301_13_10_3,water,2023,9,3,13,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03397,NW2301_13_10_4,water,2023,9,3,13,Northern Bering Sea,,,,field_blank,,,NBS,,,,,,,,,
e03398,NW2301_13_30_1,water,2023,9,3,13,Northern Bering Sea,,,,sample,30,,NBS,,,,,,,,,
e03399,NW2301_13_30_2,water,2023,9,3,13,Northern Bering Sea,,,,sample,30,,NBS,,,,,,,,,
e03400,NW2301_13_30_3,water,2023,9,3,13,Northern Bering Sea,,,,sample,30,,NBS,,,,,,,,,
e03401,NW2301_14_10_1,water,2023,9,4,14,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03402,NW2301_14_10_2,water,2023,9,4,14,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03403,NW2301_14_10_3,water,2023,9,4,14,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03404,NW2301_15_10_1,water,2023,9,4,15,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03405,NW2301_15_10_2,water,2023,9,4,15,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03406,NW2301_15_10_3,water,2023,9,4,15,Northern Bering Sea,,,,sample,10,,NBS,,,,,,,,,
e03407,NW2301_15_40_1,water,2023,9,4,15,Northern Bering Sea,,,,sample,40,,NBS,,,,,,,,,
e03408,NW2301_15_40_2,water,2023,9,4,15,Northern Bering Sea,,,,sample,40,,NBS,,,,,,,,,
